高校名称,学科融合指数,跨学科论文（篇）,跨学科论文占比（%）,类别
哈佛大学,30279,5569,61.64,国际
斯坦福大学,20169,3642,64.39,国际
加州大学伯克利分校,9189,1565,69.83,国际
剑桥大学,19391,3259,68.58,国际
牛津大学,22358,3755,63.30,国际
伦敦大学学院,17199,2941,66.73,国际
京都大学,14115,2510,65.60,国际
东京大学,20886,3807,66.35,国际
名古屋大学,8144,1490,66.82,国际
瓦赫宁根大学,6062,968,75.51,国际
康奈尔大学,11222,1912,70.14,国际
加利福尼亚大学戴维斯分校,5787,1050,63.79,国际
北华大学,636,104,73.76,国内
北京大学,30628,5491,63.46,国内
北京工业大学,7986,1391,70.08,国内
北京工商大学,935,157,71.36,国内
北京科技大学,11750,2115,75.16,国内
北京师范大学,8009,1324,68.28,国内
北京协和医学院,7734,1339,59.09,国内
北京语言大学,106,21,77.78,国内
北京中医药大学,1963,279,70.10,国内
渤海大学,1661,257,74.93,国内
常州大学,2500,435,75.00,国内
成都学院,3702,589,63.95,国内
大连海事大学,3504,580,79.78,国内
大连理工大学,16096,2815,80.27,国内
电子科技大学,14075,2352,74.06,国内
东北大学,18965,3163,82.35,国内
东北林业大学,2902,497,66.71,国内
东北师范大学,2580,473,74.37,国内
东华大学,5151,925,83.33,国内
东南大学,17009,3029,68.76,国内
复旦大学,16765,3031,63.72,国内
贵州大学,2519,450,72.82,国内
广西大学,3934,720,75.31,国内
哈尔滨工程大学,8918,1463,78.53,国内
哈尔滨师范大学,725,137,75.69,国内
哈尔滨医科大学,3422,631,60.10,国内
海军军医大学,3596,671,56.29,国内
杭州电子科技大学,3926,706,82.77,国内
河北民族师范学院,26,5,100.00,国内
河南理工大学,2611,452,73.74,国内
黑龙江八一农垦大学,521,81,57.86,国内
黑龙江科技大学,284,51,73.91,国内
衡水学院,52,9,69.23,国内
湖北经济学院,95,16,72.73,国内
华北电力大学,8462,1586,71.83,国内
华东师范大学,6096,1049,71.75,国内
华南师范大学,3783,641,74.10,国内
华侨大学,2528,424,72.60,国内
华中科技大学,23289,3986,71.76,国内
华中农业大学,5691,963,69.58,国内
华中师范大学,2395,410,67.99,国内
吉林大学,18990,3354,68.48,国内
江南大学,9414,1520,77.87,国内
空军军医大学,3269,546,61.42,国内
兰州大学,10172,1737,71.01,国内
辽东学院,104,18,69.23,国内
陆军军医大学,3271,616,61.23,国内
南昌工程学院,321,55,84.62,国内
南方医科大学,4326,826,62.58,国内
南华大学,1511,237,64.05,国内
南京大学,47876,8279,68.72,国内
南京农业大学,7281,1234,74.16,国内
南京医科大学,5694,1063,59.19,国内
南开大学,7092,1189,69.98,国内
攀枝花学院,152,25,65.79,国内
青岛科技大学,2300,382,82.51,国内
青海师范大学,121,27,87.10,国内
清华大学,36208,6376,74.40,国内
衢州学院,92,20,58.82,国内
泉州师范学院,160,30,78.95,国内
山东大学,26380,4681,73.21,国内
山西医科大学,1091,200,71.94,国内
山西中医药大学,18,3,75.00,国内
陕西理工大学,254,48,63.16,国内
陕西师范大学,4039,689,73.61,国内
上海财经大学,413,75,52.45,国内
上海电力学院,1233,252,82.35,国内
上海交通大学,36061,6493,71.42,国内
上海外国语大学,91,14,53.85,国内
石河子大学,1716,305,74.21,国内
首都师范大学,2135,358,67.17,国内
首都医科大学,6969,1469,61.41,国内
四川大学,21158,3856,69.69,国内
苏州大学,1379,247,61.60,国内
天津大学,26499,4580,74.54,国内
天津医科大学,3215,636,57.30,国内
天水师范学院,153,28,71.79,国内
同济大学,18090,3216,69.31,国内
皖南医学院,370,61,59.80,国内
温州医科大学,3729,718,63.77,国内
武汉大学,31265,5520,73.44,国内
武汉理工大学,8633,1580,79.72,国内
西安电子科技大学,10034,1786,73.08,国内
西安工程大学,95,18,66.67,国内
西安交通大学,3597,659,78.45,国内
西北农林科技大学,3365,581,78.41,国内
西藏大学,87,16,66.67,国内
西南财经大学,870,152,68.16,国内
西南大学,10445,1746,72.63,国内
西南交通大学,8158,1383,69.12,国内
新疆医科大学,1021,226,63.48,国内
扬州大学,4047,724,70.50,国内
长安大学,795,124,72.09,国内
长春理工大学,2738,402,66.23,国内
浙江工商大学,1386,236,71.08,国内
中国传媒大学,1523,246,78.85,国内
中国地质大学,9281,1599,66.46,国内
中国海洋大学,7295,1228,75.66,国内
中国科学技术大学,15910,2737,72.37,国内
中国矿业大学,8566,1473,74.06,国内
中国农业大学,12890,2191,76.77,国内
中国人民大学,2211,403,66.72,国内
中国药科大学,4787,739,76.26,国内
中国医科大学,5538,1052,60.53,国内
中国政法大学,116,21,65.63,国内
中南财经政法大学,348,65,69.89,国内
中南大学,22305,3924,72.92,国内
中山大学,17897,3179,64.97,国内
中央财经大学,492,99,61.49,国内
重庆师范大学,632,112,71.34,国内
重庆医科大学,4233,782,63.73,国内
重庆大学,18010,3165,74.45,国内
遵义医学院,328,50,58.14,国内
