高校名称,学科,x轴,y轴,类别
安徽大学,病毒学,0.044 ,3.543 ,区域核心
安徽大学,材料科学，表征与试验,0.025 ,-1.672 ,区域核心
安徽大学,材料科学，多学科,0.136 ,2.407 ,区域核心
安徽大学,材料科学，纺织品,0.322 ,2.596 ,区域核心
安徽大学,材料科学，复合材料,0.029 ,-2.121 ,区域核心
安徽大学,材料科学，涂料与薄膜,0.193 ,2.773 ,区域核心
安徽大学,材料科学，纸张与木材,0.028 ,2.233 ,区域核心
安徽大学,采矿与矿物加工工程,0.015 ,2.301 ,区域核心
安徽大学,成像学与摄影工艺,0.102 ,4.662 ,区域核心
安徽大学,地球化学与地球物理,0.018 ,2.000 ,区域核心
安徽大学,地球科学，多学科,0.019 ,3.017 ,区域核心
安徽大学,电化学,0.209 ,2.747 ,区域核心
安徽大学,电机与电子工程,0.117 ,2.470 ,区域核心
安徽大学,电信科学,0.090 ,3.061 ,区域核心
安徽大学,动物学,0.049 ,2.630 ,区域核心
安徽大学,毒理学,0.018 ,4.271 ,区域核心
安徽大学,多学科科学,0.058 ,2.842 ,区域核心
安徽大学,分析化学,0.118 ,2.907 ,区域核心
安徽大学,高分子科学,0.116 ,2.404 ,区域核心
安徽大学,工程，多学科,0.068 ,3.000 ,区域核心
安徽大学,工业工程,0.052 ,2.757 ,区域核心
安徽大学,光学,0.136 ,2.195 ,区域核心
安徽大学,海洋及淡水生物学,0.008 ,2.677 ,区域核心
安徽大学,核物理,0.136 ,2.123 ,区域核心
安徽大学,化学，多学科,0.113 ,2.614 ,区域核心
安徽大学,化学工程,0.058 ,2.883 ,区域核心
安徽大学,环境工程,0.034 ,2.674 ,区域核心
安徽大学,环境科学,0.029 ,2.760 ,区域核心
安徽大学,机械工程,0.039 ,3.254 ,区域核心
安徽大学,计算机科学，跨学科应用,0.102 ,2.530 ,区域核心
安徽大学,计算机科学，人工智能,0.272 ,2.986 ,区域核心
安徽大学,计算机科学，软件工程,0.121 ,2.429 ,区域核心
安徽大学,计算机科学，信息系统,0.164 ,3.403 ,区域核心
安徽大学,计算机科学，硬件,0.092 ,4.816 ,区域核心
安徽大学,计算机科学理论与方法,0.120 ,2.608 ,区域核心
安徽大学,结晶学,0.122 ,-2.131 ,区域核心
安徽大学,进化生物学,0.037 ,2.071 ,区域核心
安徽大学,昆虫学,0.024 ,2.979 ,区域核心
安徽大学,力学,0.044 ,3.456 ,区域核心
安徽大学,粒子与场物理,0.045 ,-1.944 ,区域核心
安徽大学,流体与等离子体物理,0.060 ,2.662 ,区域核心
安徽大学,纳米科学与纳米技术,0.137 ,2.573 ,区域核心
安徽大学,能源与燃料,0.054 ,2.541 ,区域核心
安徽大学,鸟类学,0.143 ,2.788 ,区域核心
安徽大学,凝聚态物理,0.162 ,2.862 ,区域核心
安徽大学,农学,0.012 ,4.210 ,区域核心
安徽大学,农业，多学科,0.034 ,2.094 ,区域核心
安徽大学,农业工程,0.042 ,2.322 ,区域核心
安徽大学,热带医学,0.014 ,3.667 ,区域核心
安徽大学,热力学,0.024 ,4.228 ,区域核心
安徽大学,神经科学,0.020 ,3.588 ,区域核心
安徽大学,生态学,0.013 ,-1.490 ,区域核心
安徽大学,生物材料科学,0.140 ,3.116 ,区域核心
安徽大学,生物多样性保护,0.020 ,2.176 ,区域核心
安徽大学,生物化学研究方法,0.064 ,2.447 ,区域核心
安徽大学,生物化学与分子生物学,0.049 ,2.270 ,区域核心
安徽大学,生物技术和应用微生物学,0.076 ,2.541 ,区域核心
安徽大学,生物物理学,0.091 ,-1.583 ,区域核心
安徽大学,生物学,0.039 ,2.470 ,区域核心
安徽大学,生物医学工程,0.043 ,2.389 ,区域核心
安徽大学,声学,0.042 ,3.523 ,区域核心
安徽大学,食品科学与技术,0.025 ,2.359 ,区域核心
安徽大学,兽医学,0.006 ,3.308 ,区域核心
安徽大学,数学,0.130 ,-1.686 ,区域核心
安徽大学,数学的跨学科应用,0.136 ,2.553 ,区域核心
安徽大学,数学物理学,0.274 ,2.392 ,区域核心
安徽大学,数学与计算生物学,0.092 ,2.329 ,区域核心
安徽大学,水资源,0.014 ,3.225 ,区域核心
安徽大学,陶瓷材料科学,0.170 ,3.039 ,区域核心
安徽大学,天文学与天体物理学,0.012 ,2.092 ,区域核心
安徽大学,统计与概率,0.178 ,2.731 ,区域核心
安徽大学,土木工程,0.006 ,2.875 ,区域核心
安徽大学,微生物学,0.032 ,2.815 ,区域核心
安徽大学,无机化学与核化学,0.154 ,-1.026 ,区域核心
安徽大学,物理，原子，分子，化学制品,0.068 ,-1.908 ,区域核心
安徽大学,物理化学,0.120 ,2.327 ,区域核心
安徽大学,细胞生物学,0.050 ,3.320 ,区域核心
安徽大学,心脏和心血管系统,0.003 ,2.410 ,区域核心
安徽大学,药理学及药剂学,0.012 ,2.662 ,区域核心
安徽大学,冶金与冶金工程,0.124 ,2.799 ,区域核心
安徽大学,医学信息学,0.024 ,3.056 ,区域核心
安徽大学,医药化学,0.034 ,3.228 ,区域核心
安徽大学,仪器及仪表学,0.110 ,3.435 ,区域核心
安徽大学,遗传学与遗传,0.100 ,3.277 ,区域核心
安徽大学,营养学与膳食学,0.011 ,2.889 ,区域核心
安徽大学,应用化学,0.112 ,2.468 ,区域核心
安徽大学,应用数学,0.179 ,2.030 ,区域核心
安徽大学,应用物理,0.149 ,2.519 ,区域核心
安徽大学,有机化学,0.059 ,2.559 ,区域核心
安徽大学,与其它学科有关的物理学,0.215 ,-1.661 ,区域核心
安徽大学,原子核科学与技术,0.024 ,2.403 ,区域核心
安徽大学,运营研究与管理,0.073 ,2.565 ,区域核心
安徽大学,植物学,0.015 ,2.568 ,区域核心
安徽大学,制造工程,0.012 ,4.511 ,区域核心
安徽大学,周围性血管疾病学,0.028 ,2.782 ,区域核心
安徽大学,自动化及控制系统,0.120 ,2.646 ,区域核心
安徽大学,综合医学与补充医学,0.023 ,3.349 ,区域核心
北京大学,保健学与保健服务,0.251 ,2.462 ,世界一流
北京大学,病毒学,0.397 ,-1.978 ,世界一流
北京大学,病理学,0.594 ,-1.185 ,世界一流
北京大学,材料科学，表征与试验,0.170 ,2.664 ,世界一流
北京大学,材料科学，多学科,0.759 ,2.427 ,世界一流
北京大学,材料科学，纺织品,0.133 ,3.061 ,世界一流
北京大学,材料科学，复合材料,0.290 ,2.798 ,世界一流
北京大学,材料科学，涂料与薄膜,0.259 ,2.182 ,世界一流
北京大学,材料科学，纸张与木材,0.055 ,2.596 ,世界一流
北京大学,采矿与矿物加工工程,0.502 ,3.111 ,世界一流
北京大学,肠胃科学与肝病学,0.665 ,2.363 ,世界一流
北京大学,成像学与摄影工艺,0.841 ,3.077 ,世界一流
北京大学,初级卫生保健,0.050 ,2.000 ,世界一流
北京大学,传染病学,0.381 ,2.491 ,世界一流
北京大学,船舶工程,0.016 ,-2.301 ,世界一流
北京大学,地理与物理,0.852 ,2.582 ,世界一流
北京大学,地球化学与地球物理,0.915 ,2.251 ,世界一流
北京大学,地球科学，多学科,0.735 ,2.418 ,世界一流
北京大学,地质工程,0.031 ,-1.943 ,世界一流
北京大学,地质学,1.264 ,2.162 ,世界一流
北京大学,电化学,0.302 ,2.182 ,世界一流
北京大学,电机与电子工程,0.518 ,2.361 ,世界一流
北京大学,电信科学,0.525 ,2.926 ,世界一流
北京大学,动物学,0.076 ,2.295 ,世界一流
北京大学,毒理学,0.332 ,2.256 ,世界一流
北京大学,多学科科学,0.788 ,2.726 ,世界一流
北京大学,耳鼻喉科学,0.268 ,-1.720 ,世界一流
北京大学,发育生物学,0.468 ,2.294 ,世界一流
北京大学,放射学，核子医学与医学成像学,0.453 ,2.137 ,世界一流
北京大学,分析化学,0.438 ,-1.438 ,世界一流
北京大学,风湿病学,0.860 ,2.518 ,世界一流
北京大学,妇产科学,0.565 ,2.162 ,世界一流
北京大学,高分子科学,0.369 ,-1.389 ,世界一流
北京大学,工程，多学科,0.254 ,2.349 ,世界一流
北京大学,工业工程,0.166 ,2.659 ,世界一流
北京大学,公共，环境，职业健康,0.335 ,2.137 ,世界一流
北京大学,古生物学,0.624 ,2.133 ,世界一流
北京大学,光谱学,0.431 ,2.201 ,世界一流
北京大学,光学,0.669 ,2.192 ,世界一流
北京大学,过敏,0.187 ,3.406 ,世界一流
北京大学,海洋工程,0.085 ,2.433 ,世界一流
北京大学,海洋及淡水生物学,0.087 ,2.623 ,世界一流
北京大学,海洋学,0.108 ,2.577 ,世界一流
北京大学,行为科学,0.223 ,2.043 ,世界一流
北京大学,航空航天科学,0.247 ,2.715 ,世界一流
北京大学,核物理,2.170 ,-1.718 ,世界一流
北京大学,呼吸系统,0.544 ,2.680 ,世界一流
北京大学,湖沼(生物)学,0.256 ,2.757 ,世界一流
北京大学,护理学,0.096 ,2.343 ,世界一流
北京大学,化学，多学科,0.853 ,2.273 ,世界一流
北京大学,化学工程,0.209 ,2.364 ,世界一流
北京大学,环境工程,0.632 ,2.344 ,世界一流
北京大学,环境科学,0.775 ,2.390 ,世界一流
北京大学,机器人学,0.310 ,2.631 ,世界一流
北京大学,机械工程,0.213 ,2.343 ,世界一流
北京大学,急诊医学,0.076 ,2.922 ,世界一流
北京大学,计算机科学，控制论,0.307 ,3.062 ,世界一流
北京大学,计算机科学，跨学科应用,0.339 ,2.288 ,世界一流
北京大学,计算机科学，人工智能,0.524 ,2.457 ,世界一流
北京大学,计算机科学，软件工程,0.541 ,2.364 ,世界一流
北京大学,计算机科学，信息系统,0.608 ,2.765 ,世界一流
北京大学,计算机科学，硬件,0.465 ,2.672 ,世界一流
北京大学,计算机科学理论与方法,0.356 ,2.406 ,世界一流
北京大学,寄生虫学,0.112 ,3.019 ,世界一流
北京大学,建筑与建筑技术,0.059 ,3.046 ,世界一流
北京大学,交通科技,0.299 ,3.015 ,世界一流
北京大学,矫形技术,0.476 ,2.440 ,世界一流
北京大学,教育科学,0.061 ,2.320 ,世界一流
北京大学,结晶学,0.407 ,-1.516 ,世界一流
北京大学,解剖学与形态学,0.168 ,2.000 ,世界一流
北京大学,进化生物学,0.180 ,2.115 ,世界一流
北京大学,精神病学,0.472 ,2.248 ,世界一流
北京大学,康复学,0.088 ,2.229 ,世界一流
北京大学,矿物学,1.075 ,2.232 ,世界一流
北京大学,昆虫学,0.009 ,-2.277 ,世界一流
北京大学,老年病学与老年学,0.501 ,2.305 ,世界一流
北京大学,力学,0.380 ,2.053 ,世界一流
北京大学,历史与哲学科学,0.033 ,2.753 ,世界一流
北京大学,粒子与场物理,2.200 ,-1.432 ,世界一流
北京大学,林学,0.223 ,2.508 ,世界一流
