name,rank,subjectA,subjectB,Num,percent
贵州大学,1,机械工程,材料力学,22,4.17
贵州大学,2,凝聚态物理,电子、光学和磁性材料,22,4.17
贵州大学,3,凝聚态物理,材料化学,22,4.17
贵州大学,4,化学,化学工程,21,3.98
贵州大学,5,凝聚态物理,材料力学,19,3.60
贵州大学,6,电气与电子工程,电子、光学和磁性材料,19,3.60
贵州大学,7,凝聚态物理,材料科学,18,3.41
贵州大学,8,材料化学,金属与合金,18,3.41
贵州大学,9,生态学、进化、行为及分类,植物科学,17,3.22
贵州大学,10,有机化学,生物化学,17,3.22
贵州大学,11,材料力学,材料科学,16,3.03
贵州大学,12,电子、光学和磁性材料,材料化学,16,3.03
贵州大学,13,机械工程,材料科学,14,2.65
贵州大学,14,凝聚态物理,电气与电子工程,13,2.46
贵州大学,15,无机化学,材料化学,12,2.27
贵州大学,16,物理与理论化学,材料化学,12,2.27
贵州大学,17,化学,凝聚态物理,12,2.27
贵州大学,18,计算机科学应用,控制与系统工程,12,2.27
贵州大学,19,化学,材料科学,11,2.08
贵州大学,20,无机化学,物理与理论化学,11,2.08
哈佛大学,1,材料化学,聚合物和塑料,14,6.36
哈佛大学,2,化学,化学工程,11,5.00
哈佛大学,3,凝聚态物理,电气与电子工程,9,4.09
哈佛大学,4,建模与仿真,计算机科学应用,9,4.09
哈佛大学,5,凝聚态物理,电子、光学和磁性材料,9,4.09
哈佛大学,6,凝聚态物理,材料化学,9,4.09
哈佛大学,7,电气与电子工程,电子、光学和磁性材料,7,3.18
哈佛大学,8,建模与仿真,航空航天工程,7,3.18
哈佛大学,9,航空航天工程,计算机科学应用,7,3.18
哈佛大学,10,环境化学,污染,6,2.73
哈佛大学,11,化学,材料化学,6,2.73
哈佛大学,12,化学,聚合物和塑料,6,2.73
哈佛大学,13,应用微生物学与生物技术,生物工艺学,6,2.73
哈佛大学,14,计算机科学应用,应用数学,6,2.73
哈佛大学,15,软件,计算机网络与通信,6,2.73
哈佛大学,16,凝聚态物理,材料科学,6,2.73
哈佛大学,17,环境化学,环境工程,5,2.27
哈佛大学,18,化学,材料科学,5,2.27
哈佛大学,19,环境化学,废物管理和处置,5,2.27
哈佛大学,20,电气与电子工程,控制与系统工程,5,2.27
哈佛大学,21,计算机网络与通信,计算机科学应用,5,2.27
北京工业大学,1,机械工程,材料力学,162,8.15
北京工业大学,2,电气与电子工程,电子、光学和磁性材料,123,6.19
北京工业大学,3,机械工程,材料科学,79,3.98
北京工业大学,4,凝聚态物理,机械工程,77,3.88
北京工业大学,5,材料力学,材料科学,71,3.57
北京工业大学,6,凝聚态物理,材料科学,71,3.57
北京工业大学,7,凝聚态物理,电子、光学和磁性材料,68,3.42
北京工业大学,8,化学,化学工程,64,3.22
北京工业大学,9,电气与电子工程,原子与分子物理学、光学,63,3.17
北京工业大学,10,原子与分子物理学、光学,电子、光学和磁性材料,63,3.17
北京工业大学,11,凝聚态物理,材料力学,61,3.07
北京工业大学,12,计算机科学应用,控制与系统工程,60,3.02
北京工业大学,13,计算机科学应用,应用数学,55,2.77
北京工业大学,14,材料化学,金属与合金,54,2.72
北京工业大学,15,凝聚态物理,电气与电子工程,54,2.72
北京工业大学,16,凝聚态物理,材料化学,44,2.21
北京工业大学,17,建造与施工,土木与结构工程,41,2.06
北京工业大学,18,建模与仿真,计算机科学应用,40,2.01
北京工业大学,19,机械工程,计算机科学应用,40,2.01
北京工业大学,20,人工智能,控制与系统工程,37,1.86
斯坦福大学,1,生物化学、遗传学和分子生物学,医学,132,2.33
斯坦福大学,2,肿瘤,癌症研究,99,1.75
斯坦福大学,3,电气与电子工程,电子、光学和磁性材料,88,1.56
斯坦福大学,4,生物化学、遗传学和分子生物学,农业和生物科学,86,1.52
斯坦福大学,5,凝聚态物理,电子、光学和磁性材料,81,1.43
斯坦福大学,6,分子生物学,细胞生物学,70,1.24
斯坦福大学,7,null,医学,69,1.22
斯坦福大学,8,医学,农业和生物科学,69,1.22
斯坦福大学,9,分子生物学,生物化学,67,1.18
斯坦福大学,10,原子与分子物理学、光学,电子、光学和磁性材料,59,1.04
斯坦福大学,11,免疫学与微生物学,生物化学、遗传学和分子生物学,59,1.04
斯坦福大学,12,机械工程,材料科学,57,1.01
斯坦福大学,13,免疫及过敏病科,免疫学,56,0.99
斯坦福大学,14,凝聚态物理,机械工程,56,0.99
斯坦福大学,15,神经内科,临床神经病学,55,0.97
斯坦福大学,16,机械工程,材料力学,54,0.95
斯坦福大学,17,分子生物学,遗传学,54,0.95
斯坦福大学,18,心血管与心血管医学,外科,53,0.94
斯坦福大学,19,生物化学,细胞生物学,52,0.92
斯坦福大学,20,语言与语言学,语言学与语言,51,0.90
斯坦福大学,21,凝聚态物理,材料科学,51,0.90
斯坦福大学,22,地球化学与岩石,地球物理学,51,0.90
加州伯克利,1,电气与电子工程,电子、光学和磁性材料,39,2.99
加州伯克利,2,凝聚态物理,电子、光学和磁性材料,33,2.53
加州伯克利,3,化学,催化,32,2.46
加州伯克利,4,空间与行星科学,天文学和天体物理学,29,2.23
加州伯克利,5,生物化学、遗传学和分子生物学,医学,27,2.07
加州伯克利,6,电子、光学和磁性材料,表面，涂料和薄膜,20,1.53
加州伯克利,7,免疫学与微生物学,生物化学、遗传学和分子生物学,20,1.53
加州伯克利,8,生物化学,催化,19,1.46
加州伯克利,9,胶体与表面化学,生物化学,19,1.46
