name,subject,x,y
安徽大学,声学,0.017,2.3979
安徽大学,农业工程,0.032,-2.0151
安徽大学,农业综合,0.029,2.1484
安徽大学,农艺学,0.009,3.8884
安徽大学,天文学与天体物理学,0.012,3.0000
安徽大学,自动化与控制系统,0.081,3.5281
安徽大学,行为科学,0.003,-2.3010
安徽大学,生物化学研究方法,0.057,2.8846
安徽大学,生物化学与分子生物学,0.038,2.7875
安徽大学,生物多样性保护,0.019,2.3010
安徽大学,生物学,0.031,2.7207
安徽大学,生物物理学,0.077,2.6236
安徽大学,生物技术与应用微生物学,0.060,2.5488
安徽大学,心脏与心血管系统,0.001,2.0000
安徽大学,细胞与组织工程,0.023,2.0000
安徽大学,细胞生物学,0.039,3.6784
安徽大学,分析化学,0.081,2.7753
安徽大学,应用化学,0.092,2.7497
安徽大学,无机化学与核化学,0.146,2.6166
安徽大学,药物化学,0.021,2.7144
安徽大学,化学综合,0.097,2.6766
安徽大学,有机化学,0.032,2.6162
安徽大学,物理化学,0.114,2.6716
安徽大学,人工智能,0.226,3.1057
安徽大学,控制论,0.184,2.0000
安徽大学,计算机硬件与结构,0.072,3.7806
安徽大学,计算机信息系统,0.104,3.0942
安徽大学,计算机交叉学科应用,0.085,2.4771
安徽大学,软件工程,0.085,-1.4517
安徽大学,计算机理论与方法,0.076,2.0740
安徽大学,结晶学,0.156,-1.6335
安徽大学,发育生物学,0.005,2.0000
安徽大学,生态学,0.007,-2.1844
安徽大学,电化学,0.178,3.0826
安徽大学,内分泌与代谢,0.005,2.0000
安徽大学,能源与燃料,0.061,3.1938
安徽大学,航天工程,0.006,-2.0000
安徽大学,生物医学工程,0.019,2.4829
安徽大学,化学工程,0.049,3.0497
安徽大学,土木工程,0.006,-1.3225
安徽大学,电力与电子工程,0.088,2.7051
安徽大学,环境工程,0.024,2.7199
安徽大学,工业工程,0.036,2.0000
安徽大学,制造工程,0.014,2.0000
安徽大学,机械工程,0.030,2.0000
安徽大学,工程综合,0.062,3.5957
安徽大学,昆虫学,0.012,2.4966
安徽大学,环境科学,0.018,2.9561
安徽大学,进化生物学,0.022,-2.0792
安徽大学,渔业,0.008,2.0000
安徽大学,食品科技,0.016,2.6578
安徽大学,胃肠病学与肝脏病学,0.002,-2.0170
安徽大学,基因与遗传,0.080,4.1455
安徽大学,地球化学与地球物理,0.006,2.0000
安徽大学,自然地理,0.018,2.0000
安徽大学,地质学,0.007,-2.0000
安徽大学,地学综合,0.012,2.9834
安徽大学,老年学,0.004,2.0000
安徽大学,血液学,0.008,2.0000
安徽大学,园艺学,0.006,2.0000
安徽大学,影像学与成像技术,0.071,2.0000
安徽大学,免疫学,0.012,3.3741
安徽大学,传染病学,0.001,2.0000
安徽大学,仪器仪表,0.072,3.5160
安徽大学,替代与补充医学,0.027,3.5817
安徽大学,湖泊科学,0.010,2.0000
安徽大学,海洋与淡水生物学,0.005,2.0000
安徽大学,生物材料,0.077,2.9411
安徽大学,硅酸盐材料,0.140,4.2989
安徽大学,材料表征与测试,0.022,2.0633
安徽大学,涂层材料与膜材料,0.172,2.8650
安徽大学,复合材料,0.025,2.0000
安徽大学,材料综合,0.136,2.6104
安徽大学,纸质材料和木质材料,0.020,2.0000
安徽大学,纺织材料,0.296,3.0203
安徽大学,计算生物学,0.070,3.2258
安徽大学,应用数学,0.186,2.4614
安徽大学,数学交叉学科应用,0.126,2.5852
安徽大学,数学,0.133,2.4418
安徽大学,力学,0.038,4.9025
安徽大学,医学信息学,0.007,-2.3010
安徽大学,医学实验室技术,0.007,2.0000
安徽大学,检验医学,0.015,2.0000
安徽大学,金属学与冶金工程,0.104,2.8107
安徽大学,气象学与大气科学,0.006,2.0000
安徽大学,微生物学,0.024,2.6953
安徽大学,显微学,0.036,2.0000
安徽大学,矿物学,0.008,2.0000
安徽大学,自然科学综合,0.054,4.4724
安徽大学,纳米科学与技术,0.130,2.7629
安徽大学,神经科学,0.014,3.0269
安徽大学,核科学技术,0.015,2.0872
安徽大学,营养和饮食学,0.011,2.0000
安徽大学,肿瘤学,0.011,2.0000
安徽大学,运筹学和管理科学,0.059,2.5395
安徽大学,光学,0.136,2.1197
安徽大学,鸟类学,0.083,-1.6990
安徽大学,寄生虫学,0.023,2.0000
安徽大学,病理学,0.003,2.0000
安徽大学,周围血管病学,0.009,2.1761
安徽大学,药理学与药剂学,0.010,-1.6924
安徽大学,应用物理,0.137,2.8259
安徽大学,分子与化学物理,0.082,2.0554
安徽大学,凝聚态物理,0.135,2.7027
安徽大学,流体和等离子体物理,0.046,2.5894
安徽大学,计算物理,0.236,2.4323
安徽大学,物理综合,0.228,2.0621
安徽大学,核物理,0.125,3.0647
安徽大学,粒子与场物理,0.052,-1.9410
安徽大学,生理学,0.002,-2.0000
安徽大学,植物学,0.009,2.6752
安徽大学,高分子科学,0.090,2.2894
安徽大学,精神病学,0.001,2.0000
安徽大学,遥感,0.059,2.0000
安徽大学,风湿病学,0.004,-2.0000
安徽大学,土壤科学,0.013,3.1195
安徽大学,光谱学,0.141,3.1900
安徽大学,统计与概率,0.108,2.4091
安徽大学,药物滥用,0.006,2.0000
安徽大学,电信,0.045,2.4393
