name,subject,x,y
清华大学,聚合物、塑料,1695,2.12
清华大学,药物,545,2.00
清华大学,农药,67,2.23
清华大学,食品、洗涤剂、水处理、生物技术,439,2.09
清华大学,一般化学,644,2.16
清华大学,纺织和造纸,49,2.07
清华大学,印刷、涂料、照相,9,2.29
清华大学,石油,84,2.04
清华大学,化学工程,291,2.24
清华大学,核子能、爆破、防护,169,2.36
清华大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,1115,2.06
清华大学,冶金,240,2.40
清华大学,其他,623,2.00
清华大学,机械工程,732,3.31
清华大学,仪器、测量和测试,2831,2.37
清华大学,计算机和控制,3107,2.25
清华大学,半导体和电路,744,2.02
清华大学,电子元件,460,2.11
清华大学,通讯,846,-0.42
清华大学,电力工程,460,2.25
厦门大学,聚合物、塑料,684,2.47
厦门大学,药物,517,2.33
厦门大学,农药,57,-1.35
厦门大学,食品、洗涤剂、水处理、生物技术,533,2.30
厦门大学,一般化学,391,2.30
厦门大学,纺织和造纸,108,2.60
厦门大学,印刷、涂料、照相,72,2.46
厦门大学,石油,72,2.35
厦门大学,化学工程,309,2.44
厦门大学,核子能、爆破、防护,24,3.04
厦门大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,313,2.38
厦门大学,冶金,145,2.38
厦门大学,催化剂,138,2.36
厦门大学,其他,221,4.66
厦门大学,机械工程,163,3.62
厦门大学,仪器、测量和测试,691,2.65
厦门大学,计算机和控制,624,2.55
厦门大学,半导体和电路,265,2.36
厦门大学,电子元件,247,2.51
厦门大学,通讯,387,2.31
厦门大学,电力工程,460,2.43
南京大学,聚合物、塑料,592,2.30
南京大学,药物,650,2.19
南京大学,农药,60,2.45
南京大学,食品、洗涤剂、水处理、生物技术,785,2.31
南京大学,一般化学,522,2.35
南京大学,纺织和造纸,15,2.57
南京大学,印刷、涂料、照相,39,2.11
南京大学,石油,30,2.18
南京大学,化学工程,352,2.26
南京大学,核子能、爆破、防护,5,2.48
