name,index,num0,num1,num2,num3,num4,numTotal,numPercent
哈佛大学,4655,7576,42,428,111,856,1437,15.94
贵州大学,672,329,0,52,20,127,199,37.69
北京工业大学,1630,1509,4,106,58,310,478,24.06
渤海大学,391,230,1,23,12,77,113,32.94
斯坦福大学,3975,4427,33,368,90,734,1225,21.67
加州大学伯克利分校,1678,799,8,134,46,316,504,38.68
剑桥大学,4139,3504,25,330,118,775,1248,26.26
牛津大学,4583,4541,21,395,108,862,1386,23.38
伦敦大学学院,3895,3312,27,321,102,730,1180,26.27
京都大学,3026,2905,17,267,77,561,922,24.09
东京大学,3875,4554,23,346,100,715,1184,20.63
名古屋大学,2047,1600,9,192,58,370,629,28.22
瓦赫宁根大学,1573,1005,3,105,44,307,459,31.35
康奈尔大学,2990,1832,17,225,85,567,894,32.80
加利福尼亚大学戴维斯分校,1207,520,11,130,28,213,382,42.35
清华大学,4567,7251,8,282,125,905,1320,15.40
北京大学,4646,7252,27,380,109,883,1399,16.17
复旦大学,3114,3810,22,266,76,583,947,19.91
北京工商大学,400,103,0,24,20,73,117,53.18
北京协和医学院,1288,1991,16,134,28,230,408,17.01
重庆医科大学,895,951,8,83,19,166,276,22.49
海军军医大学,784,947,8,81,18,140,247,20.69
陆军军医大学,886,726,8,99,20,155,282,27.98
空军军医大学,880,629,5,68,21,169,263,29.48
东北师范大学,733,411,4,61,37,124,226,35.48
哈尔滨医科大学,721,821,11,74,14,130,229,21.81
华中农业大学,1237,1043,1,86,44,233,364,25.87
华中科技大学,4595,4595,18,253,109,695,1075,18.96
河南理工大学,728,424,2,54,34,129,219,34.06
南方医科大学,1071,991,9,109,36,184,338,25.43
南京农业大学,1287,1317,0,90,45,243,378,22.30
南京医科大学,1159,1431,15,111,30,208,364,20.28
南开大学,1562,1240,8,98,50,302,458,26.97
上海交通大学,5190,7501,29,359,129,1014,1531,16.95
首都医科大学,1181,2011,18,127,35,201,381,15.93
天津医科大学,764,871,8,76,16,139,239,21.53
温州医科大学,879,853,11,77,26,159,273,24.25
西北农林科技大学,1559,1509,4,101,51,300,456,23.21
中国农业大学,1957,2346,4,122,67,377,570,19.55
中国医科大学,1182,1370,13,111,33,212,369,21.22
中国传媒大学,255,236,0,24,5,48,77,24.60
中国地质大学,1503,2005,5,110,54,279,448,18.26
中山大学,3704,3779,24,287,106,697,1114,22.77
中国矿业大学,1550,1529,7,101,71,282,461,23.17
西安电子科技大学,1356,2050,2,90,38,265,395,16.16
电子科技大学,1950,2616,6,113,46,395,560,17.63
天津大学,2915,3916,9,180,94,566,849,17.82
哈尔滨工程大学,1324,1486,1,68,49,260,378,20.28
衡水学院,24,5,0,4,0,4,8,61.54
黑龙江科技大学,132,32,0,8,4,26,38,54.29
南华大学,403,219,1,38,14,71,124,36.15
苏州大学,2335,2151,12,167,75,441,695,24.42
上海电力学院,368,197,0,28,16,66,110,35.83
中国人民大学,756,378,3,61,17,145,226,37.42
上海外国语大学,48,13,0,2,0,11,13,50.00
