研究所,数字创意,新一代信息技术,新材料,新能源,新能源汽车,生物,相关服务,节能环保,高端装备制造,求和
中国科学技术大学,3,293,115,12,5,51,21,36,64,600
中国科学院合肥物质科学研究院,2,183,92,19,0,56,28,62,104,546
中国科学院长春光学精密机械与物理研究所,1,294,26,6,2,12,8,2,112,463
中国科学院大学,0,119,144,6,0,38,6,26,27,366
中国科学院过程工程研究所,0,43,150,3,1,43,2,106,5,353
中国科学院宁波材料技术与工程研究所,1,65,218,7,0,23,3,7,27,351
深圳先进技术研究院,1,142,46,3,1,99,0,10,26,328
中国科学院微电子研究所,0,229,12,9,1,7,6,1,7,272
中国科学院自动化研究所,2,184,5,1,0,25,4,1,50,272
中国科学院深圳先进技术研究院,0,100,39,7,1,56,3,10,50,266
中国科学院金属研究所,0,23,180,5,0,11,6,4,23,252
中国科学院理化技术研究所,0,46,86,6,1,23,5,41,15,223
中国科学院长春应用化学研究所,0,11,153,1,0,36,1,12,2,216
中国科学院西安光学精密机械研究所,0,129,7,1,0,3,8,1,65,214
中国科学院半导体研究所,0,166,21,8,0,2,1,1,14,213
中国科学院信息工程研究所,0,197,0,0,0,0,1,0,10,208
中国科学院计算技术研究所,0,191,0,0,0,3,0,2,12,208
中国科学院电工研究所,0,84,18,43,3,5,4,9,17,183
中国科学院上海硅酸盐研究所,0,25,111,18,3,7,1,6,8,179
中国科学院兰州化学物理研究所,2,10,111,8,0,24,1,14,8,178
中国科学院苏州生物医学工程技术研究所,1,39,12,0,0,100,1,2,21,176
中国科学院青岛生物能源与过程研究所,0,22,64,6,0,60,0,21,3,176
中国科学院上海微系统与信息技术研究所,0,103,29,4,0,8,5,3,8,160
中国科学院电子学研究所,0,109,3,0,0,10,1,2,26,151
国家纳米科学中心,0,29,68,2,0,48,2,2,0,151
中国科学院福建物质结构研究所,0,43,86,1,1,5,0,1,11,148
中国科学院遥感与数字地球研究所,0,82,0,1,0,1,12,4,43,143
中国科学院上海光学精密机械研究所,0,84,14,0,0,4,5,2,26,135
中国科学院化学研究所,1,20,81,1,0,26,0,3,2,134
中国科学院广州能源研究所,0,15,22,17,6,11,1,39,18,129
中国科学院生态环境研究中心,0,8,29,1,0,17,2,69,3,129
中国科学院上海技术物理研究所,0,77,5,0,0,8,10,9,17,126
中国科学院工程热物理研究所,0,46,8,17,6,0,1,25,16,119
中国科学院海洋研究所,0,2,27,1,0,44,3,13,25,115
中国科学院上海高等研究院,0,39,33,5,0,14,1,7,9,108
中国科学院声学研究所,1,73,0,0,0,6,4,1,21,106
中国科学院沈阳自动化研究所,1,36,1,2,2,6,0,2,50,100
中国科学院光电技术研究所,0,60,12,3,0,2,1,2,19,99
中国科学院武汉岩土力学研究所,1,18,6,1,1,1,18,22,27,95
中国科学院上海应用物理研究所,0,15,30,14,0,16,3,11,5,94
中国科学院力学研究所,0,23,8,0,0,6,12,17,27,93
中国科学院地质与地球物理研究所,0,26,6,1,0,0,17,16,23,89
中国科学院光电研究院,0,46,3,5,0,0,2,0,30,86
中国科学院地理科学与资源研究所,1,23,0,1,0,6,10,26,17,84
中国科学院软件研究所,0,75,0,0,0,3,0,0,6,84
中国科学院重庆绿色智能技术研究院,0,43,17,3,0,4,1,5,11,84
中国科学院山西煤炭化学研究所,0,3,50,3,0,3,0,21,1,81
中国科学院南京土壤研究所,0,6,4,0,0,25,6,33,2,76
中国科学院苏州纳米技术与纳米仿生研究所,1,38,22,0,0,10,3,2,0,76
中国科学院南京地理与湖泊研究所,0,10,5,0,0,5,4,33,16,73
